time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-20T04:58:54	2297	1308	55.0	0
2026-09-20T04:59:54	3500	1379	60.0	0
2026-09-20T05:00:54	3361	1328	61.0	0
2026-09-20T05:01:55	3193	1432	63.0	0
2026-09-20T05:02:55	3281	1379	66.0	0
2026-09-20T05:03:55	3491	1297	66.0	0
2026-09-20T05:04:55	3492	1439	66.0	0
2026-09-20T05:05:55	3492	1358	68.0	0
2026-09-20T05:06:55	3304	1379	68.0	0
2026-09-20T05:07:55	3500	1432	70.0	0
2026-09-20T05:08:55	3500	1313	71.0	0
2026-09-20T05:09:55	3492	1317	71.0	0
2026-09-20T05:10:55	3500	1412	70.0	0
2026-09-20T05:11:55	3492	1297	73.0	0
2026-09-20T05:12:55	3458	1323	70.0	0
2026-09-20T05:13:55	3492	1332	69.0	0
2026-09-20T05:14:55	3492	1359	68.0	0
2026-09-20T05:15:55	3394	1356	70.0	0
2026-09-20T05:16:55	3400	1334	68.0	0
2026-09-20T05:17:55	3328	1337	71.0	0
2026-09-20T05:18:55	3402	1371	73.0	0
2026-09-20T05:19:55	3399	1331	71.0	0
2026-09-20T05:20:55	3319	1317	68.0	0
2026-09-20T05:21:55	3324	1326	67.0	0
2026-09-20T05:22:55	3489	1348	72.0	0
2026-09-20T05:23:55	3492	1318	73.0	0
2026-09-20T05:24:55	3500	1400	70.0	0
2026-09-20T05:25:55	3492	1283	70.0	0
2026-09-20T05:26:55	3460	1339	71.0	0
