rounds	73
F0	1.3952
F1	171.4138
F2	111.8022
F3	0.0065
S	0.0002
F4	0.0090
F4_diff	0.0045
F4_union	0.0045
F5	161.8384
F6	57.2574
release_wl	0.0876
release_seen	0.2512
sum_rounds_F	446.4654
sum_round_total	447.7973
residual_in_rounds	1.3319
forward_total	505.4190
residual_total	1.3574
rss_F6_begin	5620097024
hwm_F6_begin	7181615104
rss_F6	5629714432
hwm_F6	7181615104
rss_release_wl	4451172352
hwm_release_wl	7181615104
rss_release_seen	65970176
hwm_release_seen	7181615104
