time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle	mem_free_kb	mem_cached_kb	mem_available_kb
2026-09-22T15:50:05	2380	1375	69.0	0	40723896	18715032	59740108
2026-09-22T15:51:05	3360	1279	73.0	0	38981472	19021688	58427276
2026-09-22T15:52:05	3500	1390	73.0	0	37690908	19201912	57210596
2026-09-22T15:53:05	3395	1357	73.0	0	36874372	19357560	56566428
2026-09-22T15:54:05	3500	1385	74.0	0	34971092	19439504	54746364
2026-09-22T15:55:05	3343	1299	73.0	0	34660432	19505124	54504052
2026-09-22T15:56:05	3492	1300	72.0	0	34178452	19568124	54087156
2026-09-22T15:57:05	3500	1343	74.0	0	34397348	19593716	54332120
2026-09-22T15:58:05	3492	1319	73.0	0	33354356	20334968	54051132
