time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle	mem_free_kb	mem_cached_kb	mem_available_kb
2026-09-21T20:25:45	2300	1395	65.0	0	25030260	33229120	59787768
2026-09-21T20:26:45	3492	1292	73.0	0	24694472	32353244	58551932
2026-09-21T20:27:45	3380	1306	72.0	0	14961504	32354092	48819892
2026-09-21T20:28:45	3451	1302	72.0	0	12730564	32354504	46589456
2026-09-21T20:29:45	3492	1414	69.0	0	18906712	32355088	52766012
2026-09-21T20:30:46	3370	1438	68.0	0	15248996	32355848	49108884
2026-09-21T20:31:46	3492	1377	68.0	0	15253632	32356484	49114200
2026-09-21T20:32:46	3440	1313	70.0	0	17764240	32597244	51872572
2026-09-21T20:33:46	3297	1325	71.0	0	17765696	33156964	52450060
