when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	445147851	71734810	256147191	3028033466	59908792	286427159	23612	17	1	16
after	445214173	71796905	256148979	3041663704	59910701	286460763	24444	17	1	16
