when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	437424400	70969489	249343906	2908972807	59154652	278879332	23232	17	1	16
after	437476579	71020630	249344614	2922487524	59154660	278880040	23233	17	1	16
