when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	437484682	71028451	249344804	2937219024	59154683	278880230	23234	17	1	16
after	439844618	71078010	251613438	2952817954	59389285	281385769	23421	17	1	16
