time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle	mem_free_kb	mem_cached_kb	mem_available_kb
2026-09-21T21:24:24	2296	1343	63.0	0	24899928	33276124	59710004
2026-09-21T21:25:24	3193	1408	60.0	0	24421956	32400528	58332276
2026-09-21T21:26:25	3492	1416	57.0	0	14858572	32400824	48769248
2026-09-21T21:27:25	3500	1280	63.0	0	13248620	32401240	47159784
2026-09-21T21:28:25	3492	1387	66.0	0	11705372	32401656	45608972
2026-09-21T21:29:25	3401	1305	65.0	0	15199656	32401948	49111932
2026-09-21T21:30:25	3383	1324	66.0	0	15202520	32402376	49115188
2026-09-21T21:31:25	3349	1296	68.0	0	17963040	32447344	51921856
2026-09-21T21:32:25	3281	1335	69.0	0	17722936	32874424	52120564
