when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	439845186	71078345	251613540	2953385515	59389285	281385871	23421	17	1	16
after	440351877	71582765	251614190	2966917835	59389301	281386521	23422	17	1	16
