when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	437377020	70935497	249341787	2894865773	59154625	278877213	23231	17	1	16
after	437424375	70969474	249343906	2908404372	59154652	278879332	23232	17	1	16
