when	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail	compact_stall	compact_success	compact_fail
before	434964677	70834352	247071741	2864697744	58824540	276244635	23039	17	1	16
after	435000835	70865998	247074419	2878222113	58824559	276247313	23040	17	1	16
