round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
33	5000000	2911039	197413	1891548	17164698	14494365	4584132	136277531	56624964	2445071	1.282857	8.095006	3.917305	5.565265	0.000000	9.273751	7.747588	1.526163	5.008988	33.608490	0.465317	11583492096	11583492096	11765878784	11765878784	12154101760	12177387520	12232519680	12232519680	12632076288	12632076288	12229423104	12229423104	12229423104	12180606976	12672704512	12672704512	12672704512	12672704512	12672704512	12672704512	12672704512	12672704512	13037535232	13037535232	13037535232	13037535232	13037535232	13037535232
34	5000000	2906785	206478	1886737	16881374	14341020	4286542	140564073	59531749	2651549	1.251492	8.032955	1.294775	5.650396	0.000000	9.329194	7.843851	1.485343	4.429256	30.423744	0.435676	11961049088	11961049088	12138360832	12138360832	12481744896	12504997888	12506451968	12506451968	12908273664	12908273664	12505620480	12505620480	12505620480	12444987392	13037535232	13037535232	13037535232	13037535232	13037535232	13037535232	13037535232	13037535232	13311401984	13311401984	13311401984	13311401984	13311401984	13311401984
35	5000000	2931684	210251	1858065	16641140	14030101	4015295	144579368	62463433	2861800	1.243180	8.010113	2.849303	5.478466	0.000000	9.100644	7.710975	1.389669	3.736771	30.858605	0.440129	12169420800	12169420800	12345249792	12345249792	12695986176	12719439872	12754862080	12754862080	13158604800	13158604800	12755951616	12755951616	12755951616	12688949248	13311401984	13311401984	13311401984	13311401984	13311401984	13311401984	13311401984	13311401984	13559435264	13559435264	13559435264	13559435264	13559435264	13559435264
36	5000000	3080709	225633	1693658	15317010	12988203	3622311	148201679	65544142	3087433	1.378325	7.888587	4.176244	5.202963	0.000000	8.429245	7.151983	1.277262	2.720065	30.124409	0.328980	12397080576	12397080576	12603895808	12603895808	12910637056	12952453120	12970881024	12970881024	13385216000	13385216000	12982562816	12982562816	12982562816	12919095296	13559435264	13559435264	13559435264	13559435264	13559435264	13559435264	13559435264	13559435264	13775052800	13775052800	13775052800	13775052800	13775052800	13775052800
37	5000000	3015627	231879	1752494	16107228	13526031	4496018	152697697	68559769	3319312	1.219750	7.907180	1.719655	5.339449	0.000000	8.855511	7.303608	1.551903	6.102830	31.673787	0.529410	12697473024	12697473024	12876083200	12876083200	13222215680	13248192512	13278953472	13278953472	13686968320	13686968320	13284315136	13284315136	13284315136	13296422912	13775052800	13775052800	13775052800	13775052800	13775052800	13775052800	13775052800	13775052800	14083125248	14083125248	14083125248	14083125248	14083125248	14083125248
38	5000000	2901426	227696	1870878	17472142	14192206	4678746	157376443	71461195	3547008	1.213447	8.136700	3.079263	5.694931	0.000000	9.196132	7.529338	1.666794	6.095675	33.936745	0.520597	13045145600	13045145600	13226885120	13226885120	13626572800	13651013632	13659054080	13659054080	14056148992	14056148992	13653495808	13653495808	13653495808	13632495616	14083125248	14083125248	14083125248	14083125248	14083125248	14083125248	14083125248	14083125248	14463217664	14463217664	14463217664	14463217664	14463217664	14463217664
39	5000000	2980936	227231	1791833	16880876	13838051	4238024	161614467	74442131	3774239	1.239010	8.026559	4.539437	5.630096	0.000000	31.663013	7.591354	24.071659	5.348860	56.931401	0.484426	13388795904	13388795904	13565202432	13565202432	13903212544	13927059456	13928251392	13928251392	14330077184	14330077184	13927424000	18222391296	18222391296	18202238976	14463217664	14463217664	14463217664	14463217664	14463217664	14463217664	14463217664	14463217664	14732423168	14732423168	14732423168	22516088832	22516088832	22516088832
40	5000000	3064188	223111	1712701	16286227	13255285	4044181	165658648	77506319	3997350	1.252057	7.972159	2.049454	5.507361	0.000000	12.233111	9.146524	3.086587	4.528810	33.980437	0.437484	17888923648	17888923648	18066501632	18066501632	18416754688	18441269248	18458505216	18458505216	18865086464	18865086464	18462433280	18462433280	18462433280	18414571520	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
41	5000000	3055538	212872	1731590	16584455	13564756	4514731	170173379	80561857	4210222	1.255667	8.044789	3.315355	5.523742	0.000000	10.015103	8.294288	1.720815	4.206864	32.797490	0.435969	18202046464	18202046464	18380562432	18380562432	18727608320	18752057344	18753658880	18753658880	19157856256	19157856256	18755203072	18755203072	18755203072	18689069056	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
42	5000000	2837798	177628	1984574	18947307	15018615	5286639	175460018	83399655	4387850	1.266768	8.316272	6.039814	7.652155	0.000000	10.911331	9.130812	1.780519	4.789839	39.388973	0.412795	18494418944	18494418944	18674720768	18674720768	19120439296	19143139328	19144601600	19144601600	19529895936	19529895936	19261460480	19261460480	19261460480	19049066496	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832	22516088832
