time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-19T18:27:03	2594	51.0	0
2026-09-19T18:28:03	3500	55.0	0
2026-09-19T18:29:03	3500	57.0	0
2026-09-19T18:30:03	3373	59.0	0
2026-09-19T18:31:03	3500	62.0	0
2026-09-19T18:32:03	3492	63.0	0
2026-09-19T18:33:03	3463	69.0	0
2026-09-19T18:34:03	3492	66.0	0
2026-09-19T18:35:03	3391	67.0	0
2026-09-19T18:36:03	3225	67.0	0
2026-09-19T18:37:03	3500	72.0	0
2026-09-19T18:38:03	3404	68.0	0
2026-09-19T18:39:03	3428	68.0	0
2026-09-19T18:40:04	3193	69.0	0
2026-09-19T18:41:04	3361	70.0	0
2026-09-19T18:42:04	3397	74.0	0
2026-09-19T18:43:04	3492	75.0	0
2026-09-19T18:44:04	3492	74.0	0
2026-09-19T18:45:04	3434	74.0	0
2026-09-19T18:46:04	3348	70.0	0
2026-09-19T18:47:04	3232	70.0	0
2026-09-19T18:48:04	3294	63.0	0
2026-09-19T18:49:04	3397	60.0	0
2026-09-19T18:50:04	3500	64.0	0
2026-09-19T18:51:04	3397	61.0	0
2026-09-19T18:52:04	3427	63.0	0
2026-09-19T18:53:04	3492	66.0	0
2026-09-19T18:54:04	3492	67.0	0
2026-09-19T18:55:04	3464	67.0	0
2026-09-19T18:56:04	3405	65.0	0
2026-09-19T18:57:04	3431	67.0	0
2026-09-19T18:58:04	3471	66.0	0
2026-09-19T18:59:04	3405	66.0	0
