round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000137	0.000203	0.000295	0.000079	0.000212	0.000177	0.000104	0.000073	0.000291	0.053049	0.051655	22441984	22573056	22573056	22573056	22642688	22642688	22642688	22642688	22642688	22704128	22704128	22704128	22704128	22704128	22573056	22573056	22573056	22573056	22642688	22642688	22642688	22642688	22642688	22704128	22704128	22704128	22704128	22704128
2	4	0	0	4	17	0	17	22	0	0	0	0.000121	0.000149	0.000224	0.000078	0.000000	0.000147	0.000075	0.000072	0.000304	0.001815	0.000793	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664
3	17	4	0	13	96	0	82	104	0	4	0	0.000118	0.000155	0.000214	0.000075	0.000000	0.000157	0.000086	0.000070	0.000283	0.001753	0.000751	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664
4	82	24	0	58	510	0	447	551	0	28	0	0.000114	0.000212	0.000217	0.000075	0.000000	0.000155	0.000085	0.000070	0.000297	0.001835	0.000764	22769664	22769664	22769664	22769664	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22769664	22769664	22769664	22769664	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000117	0.000450	0.000229	0.000080	0.000000	0.000142	0.000071	0.000071	0.000300	0.002120	0.000803	22773760	22773760	22773760	22773760	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22773760	22773760	22773760	22773760	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000110	0.001388	0.000311	0.000079	0.000000	0.000142	0.000072	0.000070	0.000376	0.003216	0.000810	22786048	22786048	22786048	22786048	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22786048	22786048	22786048	22786048	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200	22835200
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000115	0.004887	0.000313	0.000079	0.000000	0.000143	0.000071	0.000072	0.001038	0.007425	0.000850	22835200	22835200	22835200	22835200	22999040	22999040	22999040	22999040	22999040	22999040	22999040	22999040	22999040	23228416	22835200	22835200	22835200	22835200	22999040	22999040	22999040	22999040	22999040	22999040	22999040	22999040	22999040	23396352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000273	0.019011	0.000696	0.000080	0.000000	0.000156	0.000070	0.000085	0.003362	0.024491	0.000914	22999040	22999040	23228416	23228416	24481792	24481792	24481792	24481792	24481792	24481792	24481792	24481792	24481792	25333760	23396352	23396352	23396352	23396352	24481792	24481792	24481792	24481792	24481792	24481792	24481792	24481792	24481792	26521600
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000607	0.066562	0.002479	0.000068	0.000000	0.000119	0.000060	0.000059	0.009040	0.080079	0.001205	24477696	24477696	25206784	25206784	29167616	29483008	29818880	29818880	29818880	29818880	29818880	29818880	29818880	29614080	26521600	26521600	26521600	26521600	29167616	29483008	31186944	31186944	31186944	31186944	31186944	31186944	31186944	37363712
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002369	0.255564	0.007004	0.000062	0.000000	0.000131	0.000073	0.000058	0.032740	0.299801	0.001931	26841088	26841088	32256000	32256000	69406720	70881280	78970880	78970880	78970880	78970880	78970880	78970880	78970880	97181696	37363712	37363712	37363712	37363712	80789504	80789504	80789504	80789504	80789504	80789504	80789504	80789504	80789504	97181696
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002885	0.950416	0.030645	0.000100	0.000000	0.000116	0.000058	0.000058	0.104485	1.094054	0.005408	97181696	97181696	97206272	97206272	212738048	216563712	240066560	240066560	240066560	240066560	240066560	240066560	240066560	263790592	97181696	97181696	97206272	97206272	276389888	276389888	276389888	276389888	276389888	276389888	276389888	276389888	276389888	310628352
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.023091	2.369901	0.111855	0.000072	0.000000	0.000120	0.000060	0.000060	0.277230	2.790731	0.008461	240152576	240152576	263790592	263790592	443043840	443043840	452161536	452161536	452161536	452161536	452161536	452161536	452161536	436854784	310628352	310628352	310628352	310628352	563318784	563318784	563318784	563318784	563318784	563318784	563318784	563318784	563318784	571641856
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.055380	4.089900	0.249949	0.000091	0.000000	0.000152	0.000076	0.000076	0.415178	4.847423	0.036773	379285504	379285504	419287040	419287040	777908224	809889792	853250048	853250048	853250048	853250048	853250048	853250048	853250048	886992896	571641856	571641856	571641856	571641856	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.054363	3.405166	0.105966	0.000073	0.000000	0.000121	0.000061	0.000060	0.419776	4.014351	0.028886	684498944	684498944	724500480	724500480	793624576	812163072	812294144	812294144	812294144	812294144	812294144	812294144	812294144	873463808	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728	1075785728
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.053157	4.578665	0.250911	0.000089	0.000000	0.000145	0.000084	0.000062	0.349770	5.250449	0.017712	685940736	685940736	725942272	725942272	1330065408	1348669440	1373601792	1373601792	1373601792	1373601792	1373601792	1373601792	1373601792	1383649280	1075785728	1075785728	1075785728	1075785728	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.038595	3.209933	0.127515	0.000088	0.000000	0.000121	0.000061	0.000060	0.474670	3.873759	0.022836	1305976832	1305976832	1345978368	1345978368	1372672000	1390960640	1390960640	1390960640	1390960640	1390960640	1390960640	1390960640	1390960640	1442328576	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.037931	3.299741	0.262573	0.000075	0.000000	0.000123	0.000061	0.000062	0.385525	4.005701	0.019734	1300291584	1300291584	1340293120	1340293120	1362980864	1381646336	1409859584	1409859584	1409859584	1409859584	1409859584	1409859584	1409859584	1454735360	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016372	3.300514	0.125750	0.000106	0.000000	0.000124	0.000063	0.000061	0.285151	3.747988	0.019972	1367683072	1367683072	1367683072	1367683072	1422020608	1441955840	1412980736	1412980736	1412980736	1412980736	1412980736	1412980736	1412980736	1415360512	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800	1919180800
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.040671	5.648513	0.257459	0.000072	0.000000	0.000138	0.000078	0.000061	0.326003	6.292247	0.019392	1353973760	1353973760	1393975296	1393975296	2473861120	2494488576	2509422592	2509422592	2509422592	2509422592	2509422592	2509422592	2509422592	2544578560	1919180800	1919180800	1919180800	1919180800	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.016033	2.818201	0.105526	0.000103	0.000000	0.000120	0.000060	0.000059	0.373176	3.334161	0.021002	2477047808	2477047808	2477047808	2477047808	2525376512	2546954240	2522566656	2522566656	2522566656	2522566656	2522566656	2522566656	2522566656	2588405760	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.015999	2.852195	0.247767	0.000074	0.000000	0.000134	0.000061	0.000073	0.280670	3.418440	0.021601	2512547840	2512547840	2512547840	2512547840	2512547840	2533134336	2576424960	2576424960	2576424960	2576424960	2576424960	2576424960	2576424960	2688630784	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.016587	2.895630	0.074810	0.000103	0.000000	0.000121	0.000061	0.000060	0.349405	3.358351	0.021695	2576424960	2576424960	2576424960	2576424960	2576424960	2597879808	2556911616	2556911616	2556911616	2556911616	2556911616	2556911616	2556911616	2673831936	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.016006	2.881130	0.210092	0.000082	0.000000	0.000150	0.000078	0.000072	0.176033	3.299423	0.015930	2556911616	2556911616	2556911616	2556911616	2556911616	2578354176	2613977088	2613977088	2613977088	2613977088	2613977088	2613977088	2613977088	2613977088	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.017511	2.767319	0.255088	0.000086	0.000000	0.000119	0.000060	0.000059	0.276185	3.338341	0.022032	2613977088	2613977088	2613977088	2613977088	2613977088	2634899456	2646679552	2646679552	2646679552	2646679552	2646679552	2646679552	2646679552	2762866688	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
25	5000000	2673346	141583	2185071	19709752	0	5434587	99583688	0	34055774	1048716	0.016780	2.864977	0.183582	0.000075	0.000000	0.000140	0.000079	0.000061	0.315602	3.402970	0.021812	2646679552	2646679552	2646679552	2646679552	2646679552	2668068864	2668068864	2668068864	2668068864	2668068864	2668068864	2668068864	2668068864	2785259520	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
26	5000000	2627994	227056	2144950	19325458	0	5641573	105225261	0	36683768	1275772	0.015803	2.869314	0.326819	0.000149	0.000000	0.000251	0.000125	0.000126	0.278448	3.507204	0.016421	2668068864	2668068864	2668068864	2668068864	2668068864	2689089536	2689089536	2689089536	2689089536	2689089536	2689089536	2689089536	2689089536	2689089536	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
27	5000000	2751934	74191	2173875	19471629	0	4378051	109603312	0	39435702	1349963	0.024767	2.862060	0.182292	0.000170	0.000000	0.000279	0.000140	0.000139	0.276623	3.365886	0.019696	2689089536	2689089536	2689089536	2689089536	2689089536	2711105536	2686418944	2686418944	2686418944	2686418944	2686418944	2686418944	2686418944	2726912000	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
28	5000000	2686246	171315	2142439	20170324	0	4762300	114365612	0	42121948	1521278	0.020367	2.954796	0.330807	0.000140	0.000000	0.000231	0.000115	0.000116	0.267830	3.594849	0.020678	2686418944	2686418944	2686418944	2686418944	2686418944	2707910656	2713804800	2713804800	2713804800	2713804800	2713804800	2713804800	2713804800	2752393216	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
29	5000000	2862366	105448	2032186	18467491	0	4701674	119067286	0	44984314	1626726	0.025337	2.902273	0.118622	0.000090	0.000000	0.000123	0.000063	0.000060	0.410142	3.479832	0.023246	2713804800	2713804800	2713804800	2713804800	2713804800	2736701440	2715320320	2715320320	2715320320	2715320320	2715320320	2715320320	2715320320	2830110720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
30	5000000	3079913	154458	1765629	16283117	0	3397718	122465004	0	48064227	1781184	0.015892	2.727852	0.236463	0.000104	0.000000	0.000168	0.000084	0.000084	0.299676	3.305453	0.025298	2715320320	2715320320	2715320320	2715320320	2715320320	2739961856	2780401664	2780401664	2780401664	2780401664	2780401664	2780401664	2780401664	2879991808	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
31	5000000	2936198	218860	1844942	16525129	0	4363879	126828883	0	51000425	2000044	0.017298	2.868972	0.331803	0.000131	0.000000	0.000197	0.000098	0.000099	0.310692	3.550238	0.021146	2780401664	2780401664	2780401664	2780401664	2780401664	2803892224	2803892224	2803892224	2803892224	2803892224	2803892224	2803892224	2803892224	2863915008	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
32	5000000	3081132	315290	1603578	15172279	0	3868428	130697311	0	54081557	2315334	0.017111	2.733447	0.143971	0.000091	0.000000	0.000145	0.000065	0.000080	0.287827	3.205003	0.022412	2805620736	2805620736	2805620736	2805620736	2805620736	2830270464	2799415296	2799415296	2799415296	2799415296	2799415296	2799415296	2799415296	2872016896	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
33	5000000	3106824	133017	1760159	16258785	0	3276909	133974220	0	57188381	2448351	0.019022	2.802091	0.272808	0.000108	0.000000	0.000181	0.000091	0.000090	0.235696	3.347698	0.017792	2822774784	2822774784	2822774784	2822774784	2822774784	2847629312	2861363200	2861363200	2861363200	2861363200	2861363200	2861363200	2861363200	2861363200	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720	3621150720
34	5000000	3032082	254373	1713545	16327175	0	3655409	137629629	1	60220463	2702724	0.023003	7.474758	0.320950	0.000100	0.000000	0.000168	0.000084	0.000084	0.303421	8.146006	0.023606	2861363200	2861363200	2861363200	2861363200	5008846848	5033103360	5033103360	5033103360	5033103360	5033103360	5033103360	5033103360	5033103360	5135630336	3621150720	3621150720	3621150720	3621150720	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
35	5000000	2867519	126379	2006102	18760165	0	4759837	142389466	0	63087982	2829103	0.017269	2.761403	0.149631	0.000117	0.000000	0.000126	0.000063	0.000062	0.335148	3.284624	0.020930	5035470848	5035470848	5035470848	5035470848	5035470848	5058408448	5035851776	5035851776	5035851776	5035851776	5035851776	5035851776	5035851776	5121191936	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
36	5000000	2952772	199686	1847542	15984386	0	4197268	146586734	0	66040754	3028789	0.018269	2.577342	0.273854	0.000090	0.000000	0.000165	0.000087	0.000078	0.271058	3.161751	0.020973	5058412544	5058412544	5058412544	5058412544	5058412544	5082034176	5093404672	5093404672	5093404672	5093404672	5093404672	5093404672	5093404672	5149761536	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
37	5000000	2788095	279403	1932502	17257292	0	5213367	151800101	0	68828849	3308192	0.017181	2.721526	0.080542	0.000102	0.000000	0.000120	0.000060	0.000060	0.277684	3.117240	0.020086	5093404672	5093404672	5093404672	5093404672	5093404672	5115711488	5121822720	5121822720	5121822720	5121822720	5121822720	5121822720	5121822720	5179887616	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
38	5000000	2893122	209262	1897616	17280247	0	4656014	156456115	0	71721971	3517454	0.018062	2.688256	0.202804	0.000090	0.000000	0.000149	0.000074	0.000074	0.263867	3.193262	0.020034	5121822720	5121822720	5121822720	5121822720	5121822720	5144965120	5144965120	5144965120	5144965120	5144965120	5144965120	5144965120	5144965120	5200277504	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
39	5000000	2888868	235043	1876089	17052459	0	4375943	160832058	0	74610839	3752497	0.016989	2.643109	0.353180	0.000108	0.000000	0.000200	0.000103	0.000097	0.257650	3.291248	0.020011	5144965120	5144965120	5144965120	5144965120	5144965120	5168078848	5110247424	5110247424	5110247424	5110247424	5110247424	5110247424	5110247424	5191065600	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296	7195959296
