time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-18T00:52:09	F	3500	67.0	0
2026-09-18T00:53:10	F	3500	69.0	0
2026-09-18T00:54:10	F	3500	71.0	0
2026-09-18T00:55:10	F	3500	72.0	0
2026-09-18T00:56:10	F	3500	69.0	0
2026-09-18T00:57:10	F	3492	68.0	0
2026-09-18T00:58:10	F	3492	68.0	0
2026-09-18T00:59:10	F	3458	68.0	0
2026-09-18T01:00:10	F	3321	61.0	0
2026-09-18T01:01:10	F	3500	61.0	0
2026-09-18T01:02:10	F	3492	64.0	0
2026-09-18T01:03:10	F	3492	66.0	0
2026-09-18T01:04:10	F	3500	66.0	0
2026-09-18T01:05:10	F	3427	67.0	0
2026-09-18T01:06:10	F	3395	60.0	0
2026-09-18T01:07:10	F	3403	58.0	0
2026-09-18T01:08:10	F	3382	61.0	0
2026-09-18T01:09:10	F	3392	60.0	0
2026-09-18T01:10:10	F	3500	60.0	0
2026-09-18T01:11:10	F	3500	62.0	0
2026-09-18T01:12:10	F	3500	63.0	0
2026-09-18T01:13:10	F	3444	64.0	0
2026-09-18T01:14:10	F	3430	65.0	0
2026-09-18T01:15:10	F	3492	68.0	0
2026-09-18T01:16:10	F	3492	69.0	0
2026-09-18T01:17:10	F	3492	70.0	0
2026-09-18T01:18:10	F	3500	68.0	0
2026-09-18T01:19:10	F	3492	69.0	0
2026-09-18T01:20:10	F	3462	69.0	0
2026-09-18T01:21:10	F	3492	70.0	0
2026-09-18T01:22:10	F	3492	70.0	0
2026-09-18T01:23:10	F	3492	74.0	0
2026-09-18T01:24:10	F	3396	73.0	0
2026-09-18T01:25:10	F	3492	73.0	0
2026-09-18T01:26:10	F	3492	69.0	0
2026-09-18T01:27:10	F	3444	70.0	0
2026-09-18T01:28:10	F	3492	70.0	0
