when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	59768	0	61467	19	1	18	477838016	94584810	264301033	4516749923	60702012	299023951	30116
after	59768	0	61467	19	1	18	477859776	94601865	264305517	4526113084	60702025	299028435	30116
