when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	59768	0	61474	19	1	18	478091497	94788781	264332724	4613361151	60702861	299081423	30966
after	59768	0	61474	19	1	18	478149706	94845850	264333284	4620344140	60702865	299081983	30966
