when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	59768	0	61467	19	1	18	477869133	94610205	264306310	4526163393	60702025	299029228	30116
after	59768	0	61467	19	1	18	477893474	94631246	264309337	4535513291	60702025	299032255	30116
