when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	59768	0	61474	19	1	18	478047571	94764191	264318135	4590788494	60702835	299066336	30963
after	59768	0	61474	19	1	18	478057108	94768870	264322481	4597680995	60702841	299071180	30965
