time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-18T20:06:58	3500	64.0	0
2026-09-18T20:07:58	3492	61.0	0
2026-09-18T20:08:58	3500	61.0	0
2026-09-18T20:09:58	3396	63.0	0
2026-09-18T20:10:58	3252	64.0	0
2026-09-18T20:11:58	3492	64.0	0
2026-09-18T20:12:58	3492	60.0	0
2026-09-18T20:13:58	3385	63.0	0
2026-09-18T20:14:58	3485	64.0	0
2026-09-18T20:15:58	3406	62.0	0
2026-09-18T20:16:58	3500	64.0	0
2026-09-18T20:17:58	3342	66.0	0
2026-09-18T20:18:58	3439	60.0	0
2026-09-18T20:19:58	3500	63.0	0
2026-09-18T20:20:58	3492	64.0	0
2026-09-18T20:21:58	3433	65.0	0
2026-09-18T20:22:58	3316	61.0	0
2026-09-18T20:23:59	3350	64.0	0
2026-09-18T20:24:59	3200	60.0	0
2026-09-18T20:25:59	3404	61.0	0
2026-09-18T20:26:59	3227	63.0	0
2026-09-18T20:27:59	3400	64.0	0
2026-09-18T20:28:59	3260	61.0	0
2026-09-18T20:29:59	3500	66.0	0
2026-09-18T20:30:59	3492	67.0	0
2026-09-18T20:31:59	3492	69.0	0
2026-09-18T20:32:59	3493	69.0	0
2026-09-18T20:33:59	3500	70.0	0
2026-09-18T20:34:59	3492	71.0	0
2026-09-18T20:35:59	3492	71.0	0
2026-09-18T20:36:59	3500	71.0	0
2026-09-18T20:37:59	3306	71.0	0
2026-09-18T20:38:59	3492	75.0	0
2026-09-18T20:39:59	3492	74.0	0
2026-09-18T20:40:59	3492	72.0	0
2026-09-18T20:41:59	3492	73.0	0
2026-09-18T20:42:59	3431	73.0	0
