round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000165	0.000150	0.000249	0.000067	0.000178	0.000140	0.000075	0.000064	0.000248	0.040082	0.038885	22794240	22925312	22925312	22925312	22994944	22994944	22994944	22994944	22994944	23056384	23056384	23056384	23056384	23056384	22925312	22925312	22925312	22925312	22994944	22994944	22994944	22994944	22994944	23056384	23056384	23056384	23056384	23056384
2	4	0	0	4	17	0	17	22	0	0	0	0.000093	0.000119	0.000184	0.000066	0.000000	0.000135	0.000062	0.000073	0.000293	0.001606	0.000716	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920
3	17	4	0	13	96	0	82	104	0	4	0	0.000100	0.000142	0.000194	0.000065	0.000000	0.000151	0.000061	0.000089	0.000280	0.001663	0.000731	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920	23121920
4	82	24	0	58	510	0	447	551	0	28	0	0.000081	0.000159	0.000208	0.000065	0.000000	0.000134	0.000075	0.000059	0.000271	0.001650	0.000731	23121920	23121920	23121920	23121920	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23121920	23121920	23121920	23121920	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000090	0.000260	0.000194	0.000067	0.000000	0.000137	0.000062	0.000075	0.000255	0.001742	0.000740	23126016	23126016	23126016	23126016	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23126016	23126016	23126016	23126016	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000093	0.000695	0.000324	0.000067	0.000000	0.000137	0.000072	0.000066	0.000306	0.002365	0.000743	23138304	23138304	23138304	23138304	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23138304	23138304	23138304	23138304	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456	23187456
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000098	0.002085	0.000255	0.000069	0.000000	0.000143	0.000075	0.000068	0.000857	0.004335	0.000828	23187456	23187456	23187456	23187456	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23580672	23187456	23187456	23187456	23187456	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23351296	23580672
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000235	0.008367	0.000585	0.000082	0.000000	0.000131	0.000058	0.000073	0.002786	0.013061	0.000874	23351296	23351296	23580672	23580672	24834048	24834048	24834048	24834048	24834048	24834048	24834048	24834048	24834048	25686016	23396352	23396352	23580672	23580672	24834048	24834048	24834048	24834048	24834048	24834048	24834048	24834048	24834048	26824704
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000520	0.032518	0.002255	0.000066	0.000000	0.000153	0.000091	0.000062	0.008198	0.044808	0.001099	24829952	24829952	25559040	25559040	29519872	29835264	30171136	30171136	30171136	30171136	30171136	30171136	30171136	29966336	26824704	26824704	26824704	26824704	29519872	29835264	31490048	31490048	31490048	31490048	31490048	31490048	31490048	37666816
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002278	0.169775	0.006855	0.000069	0.000000	0.000127	0.000064	0.000063	0.042992	0.223968	0.001874	27193344	27193344	32604160	32604160	69758976	71233536	79323136	79323136	79323136	79323136	79323136	79323136	79323136	97533952	37666816	37666816	37666816	37666816	81092608	81092608	81092608	81092608	81092608	81092608	81092608	81092608	81092608	97533952
