when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	25486	0	59457	19	1	18	473611290	91105281	263860073	4316099204	60699355	297641224	28762
after	25486	0	59457	19	1	18	473643196	91131816	263862951	4325473185	60699384	297644102	28762
