when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	5026	0	59184	19	1	18	473008723	90626046	263783583	4194168481	60699283	297564734	28762
after	9118	0	59184	19	1	18	473022019	90635118	263787378	4201428426	60699284	297568529	28762
