when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	25486	0	59457	19	1	18	473589410	91091385	263852399	4306669405	60699349	297633550	28762
after	25486	0	59457	19	1	18	473611237	91105255	263860059	4316061414	60699355	297641210	28762
