when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	50062	0	59748	19	1	18	474325634	91739812	263892950	4456370612	60700426	298312121	29735
after	50062	0	59748	19	1	18	474402669	91814118	263894401	4463409917	60700430	298313572	29737
