when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	29582	0	59464	19	1	18	473904083	91363032	263877336	4369270139	60700279	297821142	28965
after	33678	0	59464	19	1	18	473935054	91391703	263878376	4374042614	60700280	298002233	29156
