# depth	result	count	sum	xor
# どうぶつしょうぎ完全解析: 深さごとの局面集合の指紋 (件数, 総和 mod 2^64, XOR)
#
# ⚠️ これはオラクルではない。oracle/distribution.tsv と totals.tsv は2021年の
#    原典から来ているが、この値は記録 #15 (impl/15_c_successors) の成果物から
#    取ったものにすぎない。由来が違うので、同じ重みで扱わないこと。
#
# なぜ oracle/ に置くか:
#   dat/ は 2.2 GB あって git に入らない。tools/fingerprint_dat.py は2つの dat/ を
#   突き合わせる道具なので、照合のたびに2本ぶんディスクに要る。記録 #16 で保存形式を
#   変えると #11 から5回続いた「dat/ がバイト同一」の鎖が切れるため、その前に
#   値のほうを固定して、1本の dat/ だけで照合できるようにする。
#     python3 tools/fingerprint_dat.py <dat> --against oracle/fingerprint.tsv
#
# 何を証明しないか:
#   指紋は件数・総和・XOR の3つだけ。異なる集合でも同じ指紋になりうるので、
#   一致は集合の完全一致を証明しない。verify_log.py の174行 (局面数だけ) より強く、
#   バイト比較より弱い。
#
# 対応する記録:
#   #11 #12 #13 #14 #15。この5つの成果物は results/{12,13,14,15}_*/bytecompare.txt の
#   とおりバイト同一なので、この値は5つすべてに対応する。
#
# ⚠️ 176 行あり、distribution.tsv の 174 行とは揃わない。件数を行ごとに見比べるときは:
#     - depth=1 win は 149417185。distribution.tsv の 9118571 に
#       totals.tsv の catch_win_depth1 140298614 を足した値 (dat/ はキャッチを含む)
#     - depth=0 lose (7018985 = totals.tsv の lose_depth0) と draw は
#       distribution.tsv に無い
#     - 残りの173行は distribution.tsv とそのまま一致する
#
# どう作ったか:
#   python3 tools/fingerprint_dat.py <#15 の dat> --tsv
#   記録 #15 の本走の成果物 (results/15_c_successors/env.txt が指す走行) から取り、
#   同じ #15 のコードをフィクスチャから走らせた別の dat/ でも同じ値になることを
#   確かめてある。この2つはチャンクの分かれ方が違っていてバイト同一ではないので、
#   「指紋がチャンクの分かれ方に依存しない」を空振りせずに確かめられている。
#
# 深さ - は引き分け (最後まで確定しなかった局面)。総和と XOR は10進。
77	win	20488	13972084098445295287	561063535581872989
78	lose	16274	16128273243459490178	644674588453205032
79	win	18914	2473485397105424706	465371049685931066
80	lose	14430	4687496002939197758	444260595842672532
81	win	16409	11166300194641627399	174175417323584787
82	lose	11686	9684798909006979646	705106459978256134
83	win	14932	6696299997233396560	813903550433152158
84	lose	10874	3617623090231709059	473370995463416125
85	win	13943	13823705620476655758	476760531332458518
86	lose	10461	514880297303065855	370818631139325491
87	win	14920	10593241736068505650	818313133620180450
88	lose	11199	5960014677287664849	950440681910672087
89	win	14980	1506919963759325838	648749911489897452
90	lose	11101	6811146862306068655	224246187106298823
91	win	14351	13099599896025061957	548734181948410723
92	lose	10985	1489343932279900683	1099779491432772747
93	win	13163	2937014241230733783	451949216976630777
94	lose	9046	18394628718276327827	521883510977711619
95	win	11666	961280178851836743	556051664601195491
96	lose	8137	298274610667392354	1128269182653189708
97	win	10825	4234350155602602253	978091863184077229
98	lose	7242	15642417200437702752	957314349139600576
99	win	10956	7632496395539134319	985082189815664463
100	lose	7163	18140952242307976477	965163216748051407
101	win	10152	16742431757653444065	229754801343144113
102	lose	6611	2588866486334818754	246605342269500050
103	win	9704	18180511205669778215	888299065613961985
104	lose	7183	13585763133554257370	1036897581751427004
105	win	9481	4701463177679468225	137520702355019597
106	lose	7678	12915941679253070307	45818162966796561
107	win	10026	14600303516659488775	827272711791544863
108	lose	8041	12817041158824322405	857309545730643447
109	win	9485	9888168421446780568	960305039444742942
110	lose	7956	8637913917552697519	174559701291656937
111	win	8499	9075686407692769098	280441739598616682
112	lose	8098	15858737635186940689	618553688486606893
113	win	8163	13360593843334370760	807788413122108482
114	lose	7513	15444565196751486824	462490820565196352
115	win	6876	4009159795702720750	578658671452326780
116	lose	6501	13689722630115541655	684535325822786867
117	win	5906	10313642264477618977	878945498634701549
118	lose	5560	13237451991197853913	104809064864615095
119	win	5666	17322625958983592344	388005943310348488
120	lose	6656	13958673627036514416	1015510979941322754
121	win	6559	13740525031847176720	1017982811910357970
