time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle	mem_free_kb	mem_cached_kb	mem_available_kb
2026-09-21T16:53:04	2295	1357	65.0	0	27076312	31228052	59822240
2026-09-21T16:54:04	3492	1288	69.0	0	26637584	30373032	58503612
2026-09-21T16:55:04	3336	1299	69.0	0	17085888	30348756	48927724
2026-09-21T16:56:04	3435	1329	70.0	0	14849256	30351008	46693412
2026-09-21T16:57:04	3396	1301	63.0	0	20986288	30353964	52833932
2026-09-21T16:58:04	3492	1342	59.0	0	17331700	30357180	49182184
2026-09-21T16:59:04	3492	1363	61.0	0	17336780	30357468	49187636
2026-09-21T17:00:04	3492	1345	64.0	0	20671632	30439844	52607172
2026-09-21T17:01:04	3492	1378	67.0	0	19798468	30981932	52291252
