time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-18T00:15:50	E	3500	49.0	0
2026-09-18T00:16:50	E	3394	53.0	0
2026-09-18T00:17:50	E	3296	59.0	0
2026-09-18T00:18:50	E	3492	61.0	0
2026-09-18T00:19:50	E	3492	60.0	0
2026-09-18T00:20:50	E	3462	61.0	0
2026-09-18T00:21:50	E	3492	62.0	0
2026-09-18T00:22:50	E	3442	64.0	0
2026-09-18T00:23:50	E	3402	57.0	0
2026-09-18T00:24:50	E	3358	59.0	0
2026-09-18T00:25:50	E	3323	62.0	0
2026-09-18T00:26:50	E	3319	64.0	0
2026-09-18T00:27:50	E	3406	65.0	0
2026-09-18T00:28:50	E	3492	59.0	0
2026-09-18T00:29:50	E	3492	59.0	0
2026-09-18T00:30:50	E	3435	61.0	0
2026-09-18T00:31:50	E	3500	58.0	0
2026-09-18T00:32:50	E	3500	59.0	0
2026-09-18T00:33:50	E	3492	62.0	0
2026-09-18T00:34:50	E	3492	64.0	0
2026-09-18T00:35:50	E	3500	64.0	0
2026-09-18T00:36:50	E	3492	66.0	0
2026-09-18T00:37:50	E	3492	66.0	0
2026-09-18T00:38:50	E	3193	66.0	0
2026-09-18T00:39:50	E	3456	69.0	0
2026-09-18T00:40:50	E	3492	73.0	0
2026-09-18T00:41:50	E	3492	69.0	0
2026-09-18T00:42:50	E	3500	69.0	0
2026-09-18T00:43:50	E	3500	70.0	0
2026-09-18T00:44:51	E	3389	69.0	0
2026-09-18T00:45:51	E	3376	69.0	0
2026-09-18T00:46:51	E	3500	72.0	0
2026-09-18T00:47:51	E	3500	73.0	0
2026-09-18T00:48:51	E	3492	73.0	0
2026-09-18T00:49:51	E	3492	72.0	0
2026-09-18T00:50:51	E	3492	71.0	0
2026-09-18T00:51:51	E	3479	70.0	0
