round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
20	5000000	2609982	98963	2291055	22192998	0	5778307	76013883	0	20295782	555046	1.159173	8.808586	2.328074	0.000069	0.000000	0.000116	0.000058	0.000058	3.206607	15.811096	0.308471	3087294464	3087294464	3346059264	3346059264	3621044224	3641925632	3689947136	3689947136	3689947136	3689947136	3689947136	3689947136	3689947136	3730018304	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400
21	5000000	2616387	102427	2281186	21815516	0	5595654	81609537	0	22912169	657473	1.151757	8.763143	4.153701	0.000067	0.000000	0.000112	0.000057	0.000055	3.475868	17.889619	0.344972	3230072832	3230072832	3480281088	3480281088	3783147520	3804082176	3805433856	3805433856	3805433856	3805433856	3805433856	3805433856	3805433856	3870674944	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400
22	5000000	2397555	90973	2511472	23460006	0	6521830	88131367	0	25309724	748446	1.156564	9.073712	2.003804	0.000082	0.000000	0.000122	0.000057	0.000065	4.569586	17.190846	0.386977	3342888960	3342888960	3601227776	3601227776	3920396288	3939577856	3969892352	3969892352	3969892352	3969892352	3969892352	3969892352	3969892352	4074176512	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400
23	5000000	2590651	102695	2306654	21576523	0	5016962	93148329	0	27900375	851141	1.159838	8.733902	4.002108	0.000066	0.000000	0.000112	0.000056	0.000056	4.904592	19.235992	0.435375	3501895680	3501895680	3726934016	3726934016	3966943232	3987664896	4014792704	4014792704	4014792704	4014792704	4014792704	4014792704	4014792704	4203692032	4414566400	4414566400	4414566400	4414566400	4414566400	4414566400	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816
24	5000000	2713165	115381	2171454	20159680	0	4472131	97620460	0	30613540	966522	1.126771	8.572730	1.754122	0.000068	0.000000	0.000112	0.000056	0.000056	4.712467	16.600351	0.434082	3629105152	3629105152	3861184512	3861188608	4074135552	4095844352	4122849280	4122849280	4122849280	4122849280	4122849280	4122849280	4122849280	4319256576	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4430626816	4519579648
25	5000000	2790892	126142	2082966	19130118	0	4291365	101911825	0	33404432	1092664	1.144121	8.560131	3.525197	0.000069	0.000000	0.000129	0.000072	0.000057	4.101729	17.740158	0.408782	3697795072	3697795072	3958063104	3958063104	4192485376	4214816768	4234264576	4234264576	4234264576	4234264576	4234264576	4234264576	4234264576	4405010432	4519579648	4519579648	4519579648	4519579648	4519579648	4519579648	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288
26	5000000	2828276	139409	2032315	19006053	0	4839708	106751533	0	36232708	1232073	1.139614	8.575606	0.999363	0.000066	0.000000	0.000111	0.000055	0.000056	3.761695	14.860127	0.383673	3850264576	3850264576	4090937344	4090937344	4314722304	4347211776	4382281728	4382281728	4382281728	4382281728	4382281728	4382281728	4382281728	4528021504	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4623884288	4728537088
27	5000000	2828424	145533	2026043	18910948	0	4590600	111342133	0	39061132	1377606	1.124655	8.678858	2.560085	0.000067	0.000000	0.000114	0.000058	0.000057	3.493064	16.225176	0.368334	4096655360	4096655360	4338421760	4338421760	4524253184	4548042752	4549865472	4549865472	4549865472	4549865472	4549865472	4549865472	4549865472	4648636416	4728537088	4728537088	4728537088	4728537088	4728537088	4728537088	4826460160	4826460160	4826460160	4826460160	4826460160	4826460160	4826460160	4848820224
28	5000000	2808501	156973	2034526	18733565	0	4407111	115749244	0	41869633	1534579	1.111215	8.637738	4.223192	0.000067	0.000000	0.000116	0.000059	0.000058	3.194032	17.509568	0.343209	4233424896	4233424896	4474986496	4474986496	4616556544	4639023104	4658368512	4658368512	4658368512	4658368512	4658368512	4658368512	4658368512	4772720640	4848820224	4848820224	4848820224	4848820224	4848820224	4848820224	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544
29	5000000	2893863	170141	1935996	17756687	0	3863738	119612982	0	44763496	1704720	1.105106	8.502016	1.871557	0.000085	0.000000	0.000114	0.000057	0.000057	2.629263	14.409290	0.301149	4311998464	4311998464	4553822208	4553822208	4702453760	4725608448	4760653824	4760653824	4760653824	4760653824	4760653824	4760653824	4760653824	4828229632	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544	5098860544
