round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
47	5000000	2919291	128123	1952586	18767030	14892938	4218207	199374560	97460907	5092646	1.309951	8.188105	1.065356	6.517268	0.000000	8.773113	7.420872	1.352241	3.436452	29.654892	0.364648	19946643456	19946643456	20152713216	20152713216	20520206336	20544585728	20565549056	20565549056	20952285184	20952285184	20549632000	20549632000	20549632000	20461596672	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312
48	5000000	3060680	131564	1807756	17396344	13857514	3848476	203223036	100521587	5224210	1.269600	8.040962	2.517113	6.361032	0.000000	8.531913	7.277276	1.254638	6.533163	33.856474	0.602692	20213952512	20213952512	20400369664	20400369664	20716949504	20742492160	20739268608	20739268608	21168295936	21168295936	20765642752	20765642752	20765642752	20835561472	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312
49	5000000	2933819	122682	1943499	18602683	14558951	4377684	207600720	103455406	5346892	1.193480	8.171392	4.422858	6.441402	0.000000	8.704752	7.305636	1.399116	6.213704	35.691283	0.543695	20437065728	20437065728	20631175168	20631175168	21057728512	21082181632	21118619648	21118619648	21506670592	21506670592	21104017408	21104017408	21104017408	21103427584	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312
50	5000000	2914466	119827	1965707	18416058	14308964	4148128	211748848	106369872	5466719	1.261802	8.143290	1.771993	6.262039	0.000000	8.485865	7.145522	1.340343	5.454736	31.890221	0.510496	20771385344	20771385344	20950188032	20950188032	21327081472	21351354368	21387169792	21387169792	21776715776	21776715776	21374062592	21374062592	21374062592	21351362560	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312
51	5000000	2971702	118895	1909403	17557286	13881358	3864591	215613439	109341574	5585614	1.296367	8.059909	3.182889	6.053827	0.000000	8.472826	7.200352	1.272473	4.483574	32.004143	0.454751	20998459392	20998459392	21205520384	21205520384	21555302400	21580025856	21610708992	21610708992	22007123968	22007123968	21604470784	21604470784	21604470784	21558210560	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312
52	5000000	3081186	135637	1783177	16437881	13103116	3739981	219353420	112422760	5721251	1.299214	7.932717	4.698247	5.751636	0.000000	7.983672	6.763610	1.220062	3.523324	31.570759	0.381948	21239992320	21239992320	21448855552	21448855552	21758140416	21783875584	21819883520	21819883520	22225252352	22225252352	21822599168	21822599168	21822599168	21759172608	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22513549312	22624026624	22624026624	22624026624	22624026624	22624026624	22624026624
53	5000000	3129676	133556	1736768	16077136	12639915	3500206	222853626	115552436	5854807	1.277287	7.952704	2.116660	5.695547	0.000000	7.627673	6.487254	1.140419	6.339891	31.621362	0.611600	21468086272	21468086272	21679079424	21679079424	22010757120	22036865024	22092410880	22092410880	22500667392	22500667392	22098014208	22098014208	22098014208	22141952000	22624026624	22624026624	22624026624	22624026624	22624026624	22624026624	22624026624	22624026624	22896439296	22896439296	22896439296	22896439296	22896439296	22896439296
54	5000000	3311861	156193	1531946	14516492	11389980	3042471	225896097	118864297	6011000	1.203363	7.867366	3.252745	5.240285	0.000000	7.008724	5.974473	1.034250	5.017596	30.085550	0.495472	21736845312	21736845312	21929807872	21929807872	22226366464	22254108672	22285930496	22285930496	22706671616	22706671616	22304018432	22304018432	22304018432	22278053888	22896439296	22896439296	22896439296	22896439296	22896439296	22896439296	22896439296	22896439296	23089569792	23089569792	23089569792	23089569792	23089569792	23089569792
55	5000000	3327411	181023	1491566	14015437	10873896	3173432	229069529	122191708	6192023	1.297794	7.695433	4.422145	5.020193	0.000000	6.714981	5.667349	1.047633	3.389719	28.940070	0.399805	21932584960	21932584960	22141091840	22141091840	22465142784	22493208576	22500995072	22500995072	22925746176	22925746176	22523092992	22523092992	22523092992	22453878784	23089569792	23089569792	23089569792	23089569792	23089569792	23089569792	23089569792	23089569792	23304912896	23304912896	23304912896	23304912896	23304912896	23304912896
56	5000000	3250550	194215	1555235	14157392	10684855	3245492	232315021	125442258	6386238	1.282812	7.717454	1.793640	4.978606	0.000000	6.662833	5.594486	1.068347	5.973767	28.988306	0.579195	22168006656	22168006656	22375714816	22375714816	22720585728	22748147712	22778679296	22778679296	23202291712	23202291712	22799638528	22799638528	22799638528	22821859328	23304912896	23304912896	23304912896	23304912896	23304912896	23304912896	23304912896	23304912896	23582482432	23582482432	23582482432	23582482432	23582482432	23582482432
