time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-19T19:09:12	2597	1306	57.0	0
2026-09-19T19:10:12	3403	1328	63.0	0
2026-09-19T19:11:12	3459	1325	65.0	0
2026-09-19T19:12:12	3492	1316	70.0	0
2026-09-19T19:13:12	3323	1360	67.0	0
2026-09-19T19:14:13	3193	1461	70.0	0
2026-09-19T19:15:13	3492	1407	68.0	0
2026-09-19T19:16:13	3500	1469	70.0	0
2026-09-19T19:17:13	3492	1312	69.0	0
2026-09-19T19:18:13	3492	1323	73.0	0
2026-09-19T19:19:13	3424	1343	69.0	0
2026-09-19T19:20:13	3492	1360	69.0	0
2026-09-19T19:21:13	3388	1337	70.0	0
2026-09-19T19:22:13	3500	1355	70.0	0
2026-09-19T19:23:13	3292	1317	62.0	0
2026-09-19T19:24:13	3500	1455	62.0	0
2026-09-19T19:25:13	3492	1395	64.0	0
2026-09-19T19:26:13	3298	1326	67.0	0
2026-09-19T19:27:13	3378	1308	67.0	0
2026-09-19T19:28:13	3423	1330	68.0	0
2026-09-19T19:29:13	3379	1329	69.0	0
2026-09-19T19:30:13	3459	1328	74.0	0
2026-09-19T19:31:13	3398	1444	74.0	0
2026-09-19T19:32:13	3492	1312	70.0	0
2026-09-19T19:33:13	3397	1340	71.0	0
2026-09-19T19:34:13	3492	1317	71.0	0
2026-09-19T19:35:13	3492	1327	72.0	0
2026-09-19T19:36:13	3492	1318	71.0	0
2026-09-19T19:37:13	3469	1293	74.0	0
2026-09-19T19:38:13	3492	1338	72.0	0
2026-09-19T19:39:13	3403	1357	72.0	0
2026-09-19T19:40:13	3487	1344	71.0	0
2026-09-19T19:41:13	3492	1259	73.0	0
2026-09-19T19:42:13	3370	1343	71.0	0
2026-09-19T19:43:13	3360	1312	75.0	0
2026-09-19T19:44:13	3209	1341	75.0	0
2026-09-19T19:45:14	3399	1505	75.0	0
2026-09-19T19:46:14	3488	1395	75.0	0
2026-09-19T19:47:14	3399	1357	74.0	0
2026-09-19T19:48:14	3492	1295	74.0	0
2026-09-19T19:49:14	3378	1335	73.0	0
2026-09-19T19:50:14	3397	1368	73.0	0
2026-09-19T19:51:14	3500	1418	72.0	0
2026-09-19T19:52:14	3500	1411	73.0	0
2026-09-19T19:53:14	3400	1342	73.0	0
2026-09-19T19:54:14	3443	1356	73.0	0
2026-09-19T19:55:14	3492	1353	76.0	0
2026-09-19T19:56:14	3500	1366	76.0	0
2026-09-19T19:57:14	3359	1338	72.0	0
2026-09-19T19:58:14	3500	1411	72.0	0
2026-09-19T19:59:14	3492	1361	72.0	0
