round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4	hwm_F5_begin	hwm_F5
23	5000000	2459845	97403	2442752	22908179	5271171	94172455	27786663	833300	1.305397	8.731089	4.101203	7.372124	0.000000	26.559970	7.438600	56.065631	0.557248	8985767936	8985767936	9185079296	9185079296	9677357056	9697034240	9736642560	9736642560	10090250240	10090250240	9821814784	9821814784	9668255744	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592
24	5000000	2629702	108170	2262128	21061448	4504550	98677005	30416365	941470	1.281008	8.637935	1.981262	6.946289	0.000000	27.036857	7.227139	53.675147	0.564657	9312055296	9312055296	9509842944	9509842944	9869639680	9890676736	9942638592	9942638592	10311020544	10311020544	10042585088	10042585088	9884184576	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592
25	5000000	2828494	121774	2049732	18886066	4205899	102882904	33244859	1063244	1.257567	8.463999	3.688873	6.355614	0.000000	27.115286	6.685913	54.095412	0.528159	9566420992	9566420992	9742204928	9742204928	10070028288	10092658688	10133622784	10133622784	10519408640	10519408640	10250973184	10250973184	10088198144	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592
26	5000000	2804734	143352	2051914	19034981	4755590	107638494	36049593	1206596	1.266358	8.454696	1.204359	6.208874	0.000000	28.137957	6.558351	52.355608	0.525013	9767686144	9767686144	9947586560	9947586560	10346561536	10368999424	10393513984	10393513984	10778107904	10778107904	10509672448	10509672448	10325565440	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592
27	5000000	2823219	145856	2030925	18828968	4551555	112190049	38872812	1352452	1.334650	8.349838	2.810915	6.141164	0.000000	29.115973	6.184121	54.387174	0.450513	10011156480	10011156480	10219573248	10219573248	10602655744	10625241088	10662232064	10662232064	11048472576	11048472576	10780037120	10780037120	10583855104	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11335790592	11467276288	11467276288	11467276288	11467276288	11467276288
28	5000000	2827072	150738	2022190	18677142	4399367	116589416	41699884	1503190	1.293289	8.422845	4.502156	6.072413	0.000000	30.009291	5.486293	56.188551	0.402264	10290757632	10290757632	10497921024	10497921024	10900918272	10923536384	10965450752	10965450752	11352907776	11352907776	11084472320	11084472320	10853310464	11467276288	11467276288	11467276288	11467276288	11467276288	11467276288	11467276288	11467276288	11770494976	11770494976	11770494976	11770494976	11770494976
29	5000000	2791711	162370	2045919	18649849	4307300	120896716	44491595	1665560	1.284545	8.304204	2.199627	6.055111	0.000000	30.619079	4.924483	53.749007	0.361958	10565230592	10565230592	10772643840	10772643840	11167752192	11190083584	11163312128	11163312128	11580215296	11580215296	11311779840	11311779840	11098480640	11770494976	11770494976	11770494976	11770494976	11770494976	11770494976	11770494976	11770494976	11997585408	11997585408	11997585408	11997585408	11997585408
30	5000000	2962811	183947	1853242	17081745	3553147	124449863	47454406	1849507	1.282148	8.138909	3.693359	5.661501	0.000000	13.803285	3.418636	36.390183	0.392343	10838384640	10838384640	11043917824	11043917824	11356241920	11393400832	11438354432	11438354432	11838574592	11838574592	11435921408	11435921408	11360522240	11997585408	11997585408	11997585408	11997585408	11997585408	11997585408	11997585408	11997585408	12243398656	12243398656	12643422208	12643422208	12643422208
31	5000000	3163964	200552	1635484	15069477	3214816	127664679	50618370	2050059	1.221229	7.969494	0.994010	5.154795	0.000000	11.309122	6.162191	33.327392	0.516551	11168817152	11168817152	11347251200	11347251200	11588190208	11615109120	11616964608	11616964608	12033282048	12033282048	11630628864	11630628864	11610243072	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208
32	5000000	3116469	200127	1683404	15538964	3950259	131614938	53734839	2250186	1.142325	7.997901	2.337621	5.456960	0.000000	11.719269	5.479326	34.527440	0.394037	11370168320	11370168320	11550384128	11550384128	11869216768	11894386688	11900104704	11900104704	12312666112	12312666112	11910012928	11910012928	11819966464	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12643422208	12704927744	12704927744	12714860544	12714860544	12714860544
33	5000000	2913577	193462	1892961	17265000	4627973	136242911	56648416	2443648	1.248805	8.219015	3.781713	5.552112	0.000000	12.591129	4.973430	36.729399	0.363195	11644526592	11644526592	11827208192	11827208192	12220821504	12244131840	12245712896	12245712896	12644466688	12644466688	12376031232	12376031232	12137689088	12714860544	12714860544	12714860544	12714860544	12714860544	12714860544	12714860544	12714860544	13050494976	13050494976	13050494976	13050494976	13050494976
34	5000000	2886284	205332	1908384	17101097	4393138	140636049	59534700	2648980	1.231917	8.169346	1.249981	5.545396	0.000000	13.757479	4.463499	34.758014	0.340395	11973398528	11973398528	12150743040	12150743040	12500951040	12524040192	12525244416	12525244416	12925308928	12925308928	12656873472	12656873472	12413239296	13050494976	13050494976	13050494976	13050494976	13050494976	13050494976	13050494976	13050494976	13329817600	13329817600	13730091008	13730091008	13730091008
35	5000000	2918302	218782	1862916	16638676	4014895	144650944	62453002	2867762	1.229278	8.151496	2.801313	5.476740	0.000000	12.319631	3.810888	34.104659	0.315313	12177530880	12177530880	12352647168	12352647168	12704505856	12727853056	12759064576	12759064576	13162827776	13162827776	12760174592	12760174592	12670652416	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008
36	5000000	3093429	218492	1688079	15254710	3588487	148239431	65546431	3086254	1.225309	7.891030	4.157013	5.092440	0.000000	11.365397	2.477376	32.548778	0.340213	12431843328	12431843328	12607455232	12607455232	12920209408	12963074048	12965085184	12965085184	13379919872	13379919872	12977266688	12977266688	12901343232	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13730091008	13769867264	13769867264	13782114304	13782114304	13782114304
37	5000000	3008131	236467	1755402	16046836	4485723	152725154	68554562	3322721	1.293270	8.036879	1.727631	5.525016	0.000000	11.829255	6.265576	35.118788	0.441161	12767121408	12767121408	12945240064	12945240064	13290119168	13316075520	13317840896	13317840896	13726339072	13726339072	13457903616	13457903616	13249445888	13782114304	13782114304	13782114304	13782114304	13782114304	13782114304	13782114304	13782114304	14122622976	14122622976	14128533504	14128533504	14128533504
38	5000000	2883392	225074	1891534	17768778	4796585	157521739	71437954	3547795	1.205933	8.258156	3.054933	5.917352	0.000000	12.534158	6.186042	37.588088	0.431514	13062434816	13062434816	13245280256	13245280256	13657477120	13681733632	13683441664	13683441664	14078164992	14078164992	13809729536	13809729536	13590614016	14128533504	14128533504	14128533504	14128533504	14128533504	14128533504	14128533504	14128533504	14488223744	14488223744	14488223744	14488223744	14488223744
39	5000000	2958018	223875	1818107	17149080	4308655	161830394	74395972	3771670	1.211563	8.150492	4.447696	5.597639	0.000000	36.241652	5.531520	61.583605	0.403044	13409607680	13409607680	13584838656	13584838656	13927587840	13951250432	13952712704	13952712704	14352392192	14352392192	18378924032	18378924032	18155597824	14488223744	14488223744	14488223744	14488223744	14488223744	14488223744	14488223744	14488223744	14757494784	14757494784	22673231872	22673231872	22673231872
40	5000000	3092894	227310	1679796	15938207	3930951	165761345	77488866	3998980	1.239485	8.135068	2.391562	5.918893	0.000000	16.531867	5.630973	40.412306	0.564457	17977618432	17977618432	18154725376	18154725376	18454376448	18479128576	18479992832	18479992832	18889359360	18889359360	18486706176	18486706176	18385346560	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
41	5000000	3081927	211142	1706931	16291919	4412172	170173517	80570793	4210122	1.369201	8.364344	3.528759	5.672818	0.000000	17.545581	4.791358	41.706745	0.434684	18219286528	18219286528	18398461952	18398466048	18741874688	18766532608	18768060416	18768060416	19174596608	19174596608	18906161152	18906161152	18654527488	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
42	5000000	2846186	170528	1983286	18980635	5321867	175495384	83416979	4380650	1.342427	8.695356	5.180322	6.268882	0.000000	17.410644	4.619231	43.949635	0.432774	18503528448	18503528448	18684248064	18684248064	19137957888	19160731648	19162431488	19162431488	19547459584	19547459584	19279024128	19279024128	19019079680	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
43	5000000	2737828	153281	2108891	19996852	5127537	180622921	86154807	4533931	1.280277	8.390966	2.569046	6.447021	0.000000	15.507138	4.626071	39.127832	0.307313	18876375040	18876375040	19052183552	19052183552	19483811840	19505717248	19507302400	19507302400	19884199936	19884199936	19615764480	19615764480	19361308672	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
44	5000000	2803147	165886	2030967	19079309	4651690	185274611	88957954	4699817	1.248499	8.401611	4.232498	6.276495	0.000000	14.564033	4.382226	39.407373	0.302010	19213115392	19213115392	19385864192	19385864192	19740000256	19762425856	19764039680	19764039680	20148277248	20148277248	19879841792	19879841792	19627130880	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
45	5000000	2800283	144111	2055606	19651480	5091091	190365702	91758237	4843928	1.275168	8.288758	1.889341	6.352068	0.000000	14.944792	4.346576	37.384775	0.288072	19477577728	19477577728	19655565312	19655565312	20045697024	20068098048	20068659200	20068659200	20448321536	20448321536	20179886080	20179886080	19922018304	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
46	5000000	2787257	126026	2086717	19911066	4885015	195250717	94545494	4969954	1.248468	8.409107	3.703639	6.483655	0.000000	14.955289	4.291861	39.379880	0.287861	19778162688	19778162688	19956817920	19956817920	20351959040	20374257664	20376092672	20376092672	20753678336	20753678336	20485242880	20485242880	20227706880	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872	22673231872
