round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4	hwm_F5_begin	hwm_F5
61	1842448	1198666	28220	615562	5674551	1400262	244386431	137727251	6921402	0.479970	2.984534	3.211944	2.048602	0.000000	3.801336	1.204605	13.864008	0.133017	23239061504	23239061504	23318380544	23318380544	23333351424	23342940160	23370280960	23370280960	23426994176	23426994176	23359885312	23359885312	23292772352	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
62	1400262	894276	24104	481882	4395877	1057349	245443780	138621527	6945506	0.398547	2.298739	3.652611	1.644321	0.000000	2.800587	0.916764	11.816453	0.104884	23225659392	23225659392	23302787072	23302787072	23324471296	23331627008	23389057024	23389057024	23523278848	23523278848	23523278848	23523278848	23389057024	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
63	1057349	710868	27668	318813	2892637	674479	246118259	139332395	6973174	0.254377	1.770134	3.837163	0.768350	0.000000	2.096151	0.417855	9.221529	0.077498	23321944064	23321944064	23327653888	23327653888	23327653888	23333339136	23334948864	23334948864	23402061824	23402061824	23334948864	23334948864	23334948864	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
64	674479	458094	18825	197560	1723557	391433	246509692	139790489	6991999	0.184801	1.090078	3.309791	0.381076	0.000000	2.104203	0.221908	7.337597	0.045739	23334948864	23334948864	23337693184	23337693184	23337693184	23341359104	23342743552	23342743552	23342743552	23342743552	23342743552	23342743552	23342743552	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
65	391433	287637	14693	89103	758680	176441	246686133	140078126	7006692	0.092002	0.617179	3.432801	0.158815	0.000000	1.039365	0.077683	5.441883	0.024037	23342743552	23342743552	23343788032	23343788032	23343788032	23346089984	23348142080	23348142080	23348142080	23348142080	23348142080	23348142080	23348142080	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
66	176441	129847	6470	40124	323843	74691	246760824	140207973	7013162	0.034495	0.265879	3.484364	0.064949	0.000000	0.483285	0.024946	4.368303	0.010385	23348142080	23348142080	23348142080	23348142080	23348142080	23349178368	23349178368	23349178368	23349178368	23349178368	23349178368	23349178368	23349178368	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
67	74691	57755	3973	12963	99769	25465	246786289	140265728	7017135	0.011237	0.106566	3.473433	0.019962	0.000000	0.175066	0.009822	3.800559	0.004473	23349178368	23349178368	23349178368	23349178368	23349178368	23349641216	23350673408	23350673408	23350673408	23350673408	23350673408	23350673408	23350673408	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
68	25465	19807	1035	4623	33627	9623	246795912	140285535	7018170	0.004178	0.033812	3.470567	0.006235	0.000000	0.075410	0.003799	3.596141	0.002139	23350673408	23350673408	23350673408	23350673408	23350673408	23350833152	23350833152	23350833152	23350833152	23350833152	23350833152	23350833152	23350833152	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
69	9623	7042	684	1897	13485	4610	246800522	140292577	7018854	0.001252	0.012054	3.478263	0.002337	0.000000	0.036806	0.001881	3.534219	0.001626	23350833152	23350833152	23350833152	23350833152	23350833152	23350886400	23350886400	23350886400	23350886400	23350886400	23350886400	23350886400	23350886400	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
70	4610	3750	95	765	4695	1867	246802389	140296327	7018949	0.000648	0.005921	3.445470	0.000851	0.000000	0.013292	0.000928	3.468381	0.001272	23350886400	23350886400	23350886400	23350886400	23350886400	23350919168	23350919168	23350919168	23350919168	23350919168	23350919168	23350919168	23350919168	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
71	1867	1571	35	261	1527	633	246803022	140297898	7018984	0.000366	0.002180	3.451902	0.000431	0.000000	0.004065	0.000591	3.460914	0.001379	23350919168	23350919168	23350919168	23350919168	23350919168	23350931456	23350931456	23350931456	23350931456	23350931456	23350931456	23350931456	23350931456	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
72	633	587	1	45	237	113	246803135	140298485	7018985	0.000197	0.000787	3.447558	0.000145	0.000000	0.001072	0.000789	3.451684	0.001136	23350931456	23350931456	23350931456	23350931456	23350931456	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
73	113	97	0	16	66	32	246803167	140298582	7018985	0.000115	0.000223	3.440491	0.000104	0.000000	0.000364	0.000522	3.442867	0.001047	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
74	32	32	0	0	0	0	246803167	140298614	7018985	0.000122	0.000119	3.431229	0.000071	0.000000	0.000062	0.000075	3.432925	0.001246	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23350935552	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096	23859204096
