time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-19T05:30:48	3500	49.0	0
2026-09-19T05:31:48	3441	53.0	0
2026-09-19T05:32:48	3500	59.0	0
2026-09-19T05:33:48	3500	58.0	0
2026-09-19T05:34:48	3500	59.0	0
2026-09-19T05:35:48	3500	60.0	0
2026-09-19T05:36:48	3500	64.0	0
2026-09-19T05:37:48	3500	63.0	0
2026-09-19T05:38:48	3403	64.0	0
2026-09-19T05:39:48	3369	64.0	0
2026-09-19T05:40:48	3403	63.0	0
2026-09-19T05:41:48	3323	64.0	0
2026-09-19T05:42:48	3336	64.0	0
2026-09-19T05:43:48	3332	65.0	0
2026-09-19T05:44:48	3404	65.0	0
2026-09-19T05:45:48	3436	67.0	0
2026-09-19T05:46:48	3492	66.0	0
2026-09-19T05:47:48	3492	67.0	0
2026-09-19T05:48:48	3492	70.0	0
2026-09-19T05:49:48	3492	67.0	0
2026-09-19T05:50:48	3492	66.0	0
2026-09-19T05:51:48	3491	66.0	0
2026-09-19T05:52:48	3447	61.0	0
2026-09-19T05:53:48	3492	59.0	0
2026-09-19T05:54:48	3436	62.0	0
2026-09-19T05:55:48	3447	62.0	0
2026-09-19T05:56:48	3500	68.0	0
2026-09-19T05:57:48	3492	65.0	0
2026-09-19T05:58:48	3441	71.0	0
2026-09-19T05:59:48	3478	66.0	0
2026-09-19T06:00:48	3193	66.0	0
2026-09-19T06:01:49	3491	61.0	0
2026-09-19T06:02:49	3428	57.0	0
2026-09-19T06:03:49	3492	59.0	0
2026-09-19T06:04:49	3492	62.0	0
2026-09-19T06:05:49	3304	57.0	0
2026-09-19T06:06:49	3500	58.0	0
2026-09-19T06:07:49	3484	62.0	0
2026-09-19T06:08:49	3492	64.0	0
2026-09-19T06:09:49	3400	64.0	0
