when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	85413	0	62341	19	1	18	480171900	96497469	264610131	4764310771	60709283	299822263	33659
after	85413	0	62341	19	1	18	480200703	96519323	264612037	4771200554	60709292	299824169	33661
