label	arm	files	bytes	md5_list_sha256	vs_fixture
f1a_old	old	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f1b_new	new	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f1c_new	new	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f1d_old	old	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f2a_old	old	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f2b_new	new	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f2c_new	new	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
f2d_old	old	51	1974425336	ada002f3e33c16f04ebaf5db2ee05969763f3e219f76b86a484040637b74f804	一致
