when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	192153	0	63477	19	1	18	482389455	98258067	264905887	4935139578	60712800	304006589	39815
after	200341	0	63513	19	1	18	482427653	98281959	264915818	4942308291	60712809	304451767	40005
