round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000145	0.000223	0.000095	0.000116	0.000000	0.000166	0.000083	0.000083	0.000166	0.001985	0.001075	22642688	22773760	22773760	22773760	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22773760	22773760	22773760	22773760	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392	22843392
2	4	0	0	4	17	0	17	22	0	0	0	0.000088	0.000159	0.000089	0.000100	0.000000	0.000173	0.000091	0.000083	0.000170	0.001574	0.000793	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368
3	17	4	0	13	96	0	82	104	0	4	0	0.000096	0.000164	0.000088	0.000084	0.000000	0.000162	0.000081	0.000081	0.000162	0.001612	0.000858	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368
4	82	24	0	58	510	0	447	551	0	28	0	0.000101	0.000188	0.000090	0.000085	0.000000	0.000188	0.000094	0.000094	0.000163	0.001647	0.000832	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368	22970368
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000088	0.000380	0.000095	0.000085	0.000000	0.000195	0.000107	0.000088	0.000175	0.001820	0.000803	22970368	22970368	22970368	22970368	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22970368	22970368	22970368	22970368	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656	22982656
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000086	0.000879	0.000117	0.000127	0.000000	0.000166	0.000084	0.000082	0.000217	0.002558	0.000966	22982656	22982656	22982656	22982656	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	22982656	22982656	22982656	22982656	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000095	0.003081	0.000122	0.000087	0.000000	0.000161	0.000080	0.000081	0.000157	0.004569	0.000866	23101440	23101440	23101440	23101440	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23101440	23101440	23101440	23101440	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208	23646208
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000084	0.011329	0.000264	0.000085	0.000000	0.000160	0.000079	0.000081	0.000187	0.013048	0.000938	23646208	23646208	23646208	23646208	25133056	25133056	25325568	25325568	25325568	25325568	25325568	25325568	25325568	25325568	23646208	23646208	23646208	23646208	25133056	25133056	25325568	25325568	25325568	25325568	25325568	25325568	25325568	25325568
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000082	0.041836	0.000210	0.000081	0.000000	0.000153	0.000076	0.000077	0.000146	0.043338	0.000830	25325568	25325568	25325568	25325568	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296	25325568	25325568	25325568	25325568	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296	32055296
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000078	0.145453	0.001600	0.000063	0.000000	0.000133	0.000070	0.000063	0.000116	0.149419	0.001974	32055296	32055296	32055296	32055296	69816320	71290880	73748480	73748480	73748480	73748480	73748480	73748480	73748480	73748480	32055296	32055296	32055296	32055296	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.000063	0.490869	0.005247	0.000063	0.000000	0.000131	0.000059	0.000071	0.000116	0.500190	0.003699	73752576	73752576	73752576	73752576	215584768	219410432	227065856	227065856	227065856	227065856	227065856	227065856	227065856	227065856	82554880	82554880	82554880	82554880	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.000064	1.214236	0.014873	0.000065	0.000000	0.000148	0.000059	0.000088	0.000128	1.240262	0.010749	227065856	227065856	227065856	227065856	453566464	468058112	489738240	489738240	489738240	489738240	489738240	489738240	489738240	489738240	279617536	279617536	279617536	279617536	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016
13	7196129	3193516	61622	3940991	39461754	0	14128648	25866914	1	5004362	83313	0.000072	2.843651	0.039037	0.000067	0.000000	0.000134	0.000060	0.000074	0.000123	2.913582	0.030497	489738240	489738240	489738240	489738240	900632576	940670976	942268416	942268416	942268416	942268416	942268416	942268416	942268416	942268416	574038016	574038016	574038016	574038016	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080
14	14128648	6389721	163748	7575179	74409264	0	23735351	49602265	1	11394083	247061	0.000107	5.531897	0.041223	0.000073	0.000000	0.000148	0.000073	0.000075	0.000192	5.618225	0.044586	910737408	910737408	910737408	910737408	1713037312	1764155392	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1199022080	1199022080	1199022080	1199022080	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968
15	23735351	12039974	422326	11273051	109922849	0	29547638	79149903	1	23434057	669387	0.000087	8.984984	0.058801	0.000067	0.000000	0.000140	0.000076	0.000064	0.000122	9.124627	0.080426	1713033216	1713033216	1713033216	1713033216	3066277888	3162595328	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	2323283968	2323283968	2323283968	2323283968	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344
16	29547638	15787478	680262	13079898	121261285	0	30196273	109346176	0	39221535	1349649	0.000063	9.009729	0.070090	0.000076	0.000000	0.000119	0.000059	0.000060	0.000126	9.179192	0.098989	3066273792	3066273792	3066273792	3066273792	3307593728	3433893888	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344
17	30196273	17823723	1096472	11276078	103992908	0	24550753	133896929	0	57045258	2446121	0.000064	8.992961	0.060335	0.000068	0.000000	0.000120	0.000060	0.000060	0.000124	9.169839	0.116168	3307593728	3307593728	3307593728	3307593728	3495227392	3645739008	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344	4429881344
18	24550753	14285714	1069257	9195782	83003138	0	21665489	155562418	1	71330972	3515378	0.000063	9.535284	0.050192	0.000069	0.000000	0.000128	0.000061	0.000067	0.000125	9.678219	0.092359	3503144960	3503144960	3503144960	3503144960	5815402496	5938245632	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	4429881344	4429881344	4429881344	4429881344	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
19	21665489	12979224	920054	7766211	74097174	0	19240112	174802530	0	84310196	4435432	0.000064	6.250341	0.043540	0.000117	0.000000	0.000129	0.000065	0.000064	0.000126	6.378425	0.084108	5823959040	5823959040	5823959040	5823959040	5970526208	6081720320	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
20	19240112	10598139	547365	8094608	76883606	0	19639885	194442415	0	94908335	4982797	0.000063	5.968549	0.042708	0.000068	0.000000	0.000119	0.000059	0.000060	0.000123	6.081541	0.069911	5977878528	5977878528	5977878528	5977878528	6130622464	6219784192	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
21	19639885	11732850	509356	7397679	70916460	0	16191130	210633545	0	106641185	5492153	0.000063	5.922036	0.039609	0.000067	0.000000	0.000122	0.000061	0.000061	0.000124	6.035382	0.073360	6134996992	6134996992	6134996992	6134996992	6260453376	6358392832	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
22	16191130	9746094	418556	6026480	55398221	0	12541736	223175281	0	116387279	5910709	0.000063	4.832561	0.032344	0.000067	0.000000	0.000136	0.000060	0.000076	0.000144	4.928843	0.063528	6264524800	6264524800	6264524800	6264524800	6361513984	6442827776	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
23	12541736	8316057	434307	3791372	35826722	0	7836676	231011957	0	124703336	6345016	0.000064	3.542103	0.019579	0.000068	0.000000	0.000121	0.000060	0.000061	0.000123	3.650744	0.088685	6364856320	6364856320	6364856320	6364856320	6424076288	6541369344	6571700224	6571700224	6571700224	6571700224	6571700224	6571700224	6571700224	6571700224	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
24	7836676	5071591	289110	2475975	22160247	0	5101785	236113742	0	129774927	6634126	0.000063	2.235407	0.014297	0.000066	0.000000	0.000119	0.000059	0.000060	0.000145	2.281340	0.031244	6399447040	6399447040	6399447040	6399447040	6440132608	6483017728	6502825984	6502825984	6502825984	6502825984	6502825984	6502825984	6502825984	6502825984	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
25	5101785	3525772	163918	1412095	13399001	0	3076884	239190626	0	133300699	6798044	0.000064	1.419454	0.007804	0.000066	0.000000	0.000119	0.000059	0.000060	0.000135	1.447837	0.020193	6462251008	6462251008	6462251008	6462251008	6464745472	6494261248	6505558016	6505558016	6505558016	6505558016	6505558016	6505558016	6505558016	6505558016	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
26	3076884	1973232	66494	1037158	9166522	0	2199129	241389755	0	135273931	6864538	0.000063	0.860660	0.005296	0.000064	0.000000	0.000129	0.000059	0.000070	0.000123	0.876917	0.010582	6505558016	6505558016	6505558016	6505558016	6482337792	6498656256	6506950656	6506950656	6506950656	6506950656	6506950656	6506950656	6506950656	6506950656	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
27	2199129	1521696	39574	637859	6266009	0	1568295	242958050	0	136795627	6904112	0.000061	0.603056	0.003469	0.000066	0.000000	0.000223	0.000115	0.000107	0.000177	0.616021	0.008970	6506950656	6506950656	6506950656	6506950656	6535110656	6547599360	6552702976	6552702976	6552702976	6552702976	6552702976	6552702976	6552702976	6552702976	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
28	1568295	926439	24317	617539	5342884	0	1366487	244324537	0	137722066	6928429	0.000061	0.451695	0.003341	0.000064	0.000000	0.000119	0.000059	0.000060	0.000160	0.461486	0.006045	6552702976	6552702976	6552702976	6552702976	6552702976	6560313344	6565253120	6565253120	6565253120	6565253120	6565253120	6565253120	6565253120	6565253120	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
29	1366487	933291	23272	409924	4052388	0	961816	245286353	0	138655357	6951701	0.000060	0.378332	0.001953	0.000064	0.000000	0.000119	0.000059	0.000060	0.000119	0.386259	0.005612	6565253120	6565253120	6565253120	6565253120	6565253120	6572904448	6576185344	6576185344	6576185344	6576185344	6576185344	6576185344	6576185344	6576185344	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
30	961816	566737	27574	367505	3110885	0	751303	246037656	0	139222094	6979275	0.000060	0.271417	0.001716	0.000064	0.000000	0.000118	0.000059	0.000059	0.000115	0.276942	0.003451	6576185344	6576185344	6576185344	6576185344	6576185344	6580940800	6583881728	6583881728	6583881728	6583881728	6583881728	6583881728	6583881728	6583881728	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
31	751303	540933	14335	196035	1842663	0	392585	246430241	0	139763027	6993610	0.000084	0.200071	0.000975	0.000063	0.000000	0.000118	0.000059	0.000059	0.000117	0.204685	0.003257	6583881728	6583881728	6583881728	6583881728	6537551872	6541991936	6543560704	6543560704	6543560704	6543560704	6543560704	6543560704	6543560704	6543560704	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
32	392585	250310	14543	127732	1022289	0	233711	246663952	0	140013337	7008153	0.000068	0.101124	0.000663	0.000065	0.000000	0.000117	0.000059	0.000059	0.000120	0.104076	0.001919	6543560704	6543560704	6543560704	6543560704	6543560704	6545678336	6546698240	6546698240	6546698240	6546698240	6546698240	6546698240	6546698240	6546698240	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
33	233711	182947	4924	45840	398822	0	81769	246745721	0	140196284	7013077	0.000065	0.052513	0.000289	0.000064	0.000000	0.000118	0.000058	0.000060	0.000132	0.054736	0.001555	6546698240	6546698240	6546698240	6546698240	6546698240	6548201472	6548570112	6548570112	6548570112	6548570112	6548570112	6548570112	6548570112	6548570112	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
34	81769	56189	4169	21411	153526	0	37901	246783622	0	140252473	7017246	0.000065	0.018517	0.000182	0.000065	0.000000	0.000124	0.000061	0.000062	0.000164	0.020075	0.000959	6548570112	6548570112	6548570112	6548570112	6548570112	6549053440	6549225472	6549225472	6549225472	6549225472	6549225472	6549225472	6549225472	6549225472	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
35	37901	31719	806	5376	43990	0	10225	246793847	0	140284192	7018052	0.000061	0.007533	0.000100	0.000061	0.000000	0.000116	0.000058	0.000058	0.000127	0.008743	0.000745	6549225472	6549225472	6549225472	6549225472	6549225472	6549487616	6549528576	6549528576	6549528576	6549528576	6549528576	6549528576	6549528576	6549528576	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
36	10225	6627	786	2812	17753	0	6084	246799931	0	140290819	7018838	0.000060	0.002434	0.000087	0.000060	0.000000	0.000116	0.000057	0.000058	0.000114	0.003528	0.000658	6549528576	6549528576	6549528576	6549528576	6549528576	6549585920	6549610496	6549610496	6549610496	6549610496	6549610496	6549610496	6549610496	6549610496	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
37	6084	5219	88	777	5963	0	1932	246801863	0	140296038	7018926	0.000061	0.001376	0.000076	0.000078	0.000000	0.000117	0.000059	0.000058	0.000117	0.002450	0.000624	6549610496	6549610496	6549610496	6549610496	6549610496	6549651456	6549655552	6549655552	6549655552	6549655552	6549655552	6549655552	6549655552	6549655552	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232	8387039232
