when	thp_fault_alloc	thp_fault_fallback	thp_collapse_alloc	compact_stall	compact_success	compact_fail	numa_hint_faults	numa_hint_faults_local	numa_pages_migrated	numa_local	numa_other	pgmigrate_success	pgmigrate_fail
before	216717	0	63513	19	1	18	482526269	98354857	264928597	4958096031	60712825	305307234	40378
after	224905	0	63516	19	1	18	482563462	98389622	264930254	4970034286	60712833	305400897	40565
