time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-20T03:18:45	3500	47.0	0
2026-09-20T03:19:45	3500	55.0	0
2026-09-20T03:20:45	3500	59.0	0
2026-09-20T03:21:45	3329	61.0	0
2026-09-20T03:22:45	3396	63.0	0
2026-09-20T03:23:45	3500	65.0	0
2026-09-20T03:24:45	3395	65.0	0
2026-09-20T03:25:45	3337	66.0	0
2026-09-20T03:26:45	3224	66.0	0
2026-09-20T03:27:45	3492	67.0	0
2026-09-20T03:28:45	3492	67.0	0
2026-09-20T03:29:45	3492	68.0	0
2026-09-20T03:30:45	3291	68.0	0
2026-09-20T03:31:45	3483	69.0	0
2026-09-20T03:32:45	3295	68.0	0
2026-09-20T03:33:45	3325	70.0	0
2026-09-20T03:34:45	3395	71.0	0
2026-09-20T03:35:45	3252	70.0	0
2026-09-20T03:36:45	3500	70.0	0
2026-09-20T03:37:45	3490	69.0	0
