time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-20T03:51:16	2598	65.0	0
2026-09-20T03:52:16	3393	60.0	0
2026-09-20T03:53:16	3430	62.0	0
2026-09-20T03:54:16	3425	65.0	0
2026-09-20T03:55:16	3391	66.0	0
2026-09-20T03:56:16	3492	70.0	0
2026-09-20T03:57:16	3436	70.0	0
2026-09-20T03:58:16	3434	70.0	0
2026-09-20T03:59:16	3492	71.0	0
2026-09-20T04:00:16	3407	71.0	0
2026-09-20T04:01:16	3492	71.0	0
2026-09-20T04:02:16	3423	71.0	0
2026-09-20T04:03:16	3434	71.0	0
2026-09-20T04:04:16	3492	71.0	0
2026-09-20T04:05:16	3492	71.0	0
2026-09-20T04:06:16	3492	73.0	0
2026-09-20T04:07:16	3346	74.0	0
2026-09-20T04:08:16	3430	71.0	0
2026-09-20T04:09:16	3389	72.0	0
2026-09-20T04:10:16	3371	71.0	0
