time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-20T04:23:42	3500	64.0	0
2026-09-20T04:24:42	3500	68.0	0
2026-09-20T04:25:42	3500	71.0	0
2026-09-20T04:26:42	3492	71.0	0
2026-09-20T04:27:42	3492	72.0	0
2026-09-20T04:28:42	3383	71.0	0
2026-09-20T04:29:42	3266	71.0	0
2026-09-20T04:30:42	3500	71.0	0
2026-09-20T04:31:42	3500	71.0	0
2026-09-20T04:32:42	3447	71.0	0
2026-09-20T04:33:42	3500	70.0	0
2026-09-20T04:34:42	3248	70.0	0
2026-09-20T04:35:42	3415	71.0	0
2026-09-20T04:36:42	3492	71.0	0
2026-09-20T04:37:42	3492	71.0	0
2026-09-20T04:38:42	3492	72.0	0
2026-09-20T04:39:42	3492	73.0	0
2026-09-20T04:40:42	3492	73.0	0
2026-09-20T04:41:42	3500	72.0	0
2026-09-20T04:42:42	3404	70.0	0
