time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle	mem_free_kb	mem_cached_kb	mem_available_kb
2026-09-22T01:19:51	2395	1418	51.0	0	21485376	36827480	59668416
2026-09-22T01:20:51	3241	1338	54.0	0	20930460	35952724	58210156
2026-09-22T01:21:51	3364	1310	60.0	0	11398460	35928404	48662496
2026-09-22T01:22:51	3492	1386	62.0	0	9244272	35929792	46510472
2026-09-22T01:23:51	3446	1301	61.0	0	15532728	35856364	52714484
2026-09-22T01:24:51	3492	1419	62.0	0	11914760	35837316	49077504
2026-09-22T01:25:51	3388	1356	62.0	0	11914548	35841240	49081316
2026-09-22T01:26:51	3367	1320	65.0	0	14443352	36070320	51843488
2026-09-22T01:27:51	3242	1351	65.0	0	14394860	36642148	52382580
